"Date","Price","Open","High","Low","Vol.","Change %"
"05-03-2026","140.11","139.00","140.55","138.11","8.27M","1.66%"
"04-03-2026","137.82","135.00","139.30","134.41","16.67M","-0.11%"
"02-03-2026","137.97","133.00","138.68","130.70","26.70M","-1.53%"
"27-02-2026","140.11","141.00","141.66","139.80","8.05M","-0.87%"
"26-02-2026","141.34","141.00","142.00","140.50","6.53M","0.57%"
"25-02-2026","140.54","144.70","145.60","139.81","17.86M","-2.61%"
"24-02-2026","144.31","143.50","144.72","142.24","8.25M","0.18%"
"23-02-2026","144.05","145.15","145.69","142.70","9.10M","0.95%"
"20-02-2026","142.70","140.45","144.33","139.70","11.92M","1.60%"
"19-02-2026","140.45","145.70","146.43","140.00","14.05M","-2.80%"
"18-02-2026","144.49","144.50","145.25","142.20","10.12M","0.10%"
"17-02-2026","144.35","142.54","145.00","141.58","11.02M","1.11%"
"16-02-2026","142.77","140.50","143.65","139.01","17.31M","2.05%"
"13-02-2026","139.90","149.20","149.30","139.10","38.68M","-6.60%"
"12-02-2026","149.79","150.47","150.75","148.75","8.55M","-0.74%"
"11-02-2026","150.91","149.59","151.33","147.80","10.70M","1.25%"
"10-02-2026","149.05","152.00","152.00","147.81","17.01M","-1.53%"
"09-02-2026","151.37","154.00","154.85","150.60","13.74M","-0.90%"
"06-02-2026","152.74","152.00","154.11","150.00","17.33M","-0.46%"
"05-02-2026","153.45","155.29","156.90","151.10","26.96M","-1.18%"
"04-02-2026","155.29","145.00","156.09","143.00","78.43M","8.13%"
"03-02-2026","143.62","145.00","149.04","140.60","54.95M","6.70%"
"02-02-2026","134.60","133.48","135.00","130.63","10.59M","1.32%"
"01-02-2026","132.85","136.50","139.86","131.95","10.16M","-1.87%"
"30-01-2026","135.38","133.00","136.50","131.91","15.16M","1.12%"
"29-01-2026","133.88","135.50","136.49","132.64","26.87M","-0.62%"
"28-01-2026","134.72","135.14","135.90","133.60","14.84M","0.16%"
"27-01-2026","134.50","135.00","137.50","132.96","24.10M","1.16%"
"23-01-2026","132.96","141.00","142.90","128.10","52.43M","-5.65%"
"22-01-2026","140.92","139.89","141.55","139.00","10.76M","2.39%"
"21-01-2026","137.63","137.50","139.64","134.80","19.42M","0.11%"
"20-01-2026","137.48","141.50","142.40","136.50","15.69M","-2.19%"
"19-01-2026","140.56","141.80","142.40","139.95","8.36M","-1.45%"
"16-01-2026","142.63","142.60","144.50","141.50","8.65M","-0.10%"
"14-01-2026","142.77","143.00","143.37","141.61","7.29M","-0.43%"
"13-01-2026","143.38","143.00","144.06","142.01","7.27M","0.59%"
"12-01-2026","142.54","141.65","143.36","139.53","10.35M","0.61%"
"09-01-2026","141.68","143.20","143.99","140.54","11.32M","-0.85%"
"08-01-2026","142.89","146.37","147.55","142.10","9.86M","-2.38%"
"07-01-2026","146.37","147.55","148.40","145.80","7.29M","-0.80%"
"06-01-2026","147.55","147.50","149.17","146.80","14.51M","0.92%"
"05-01-2026","146.20","148.00","148.40","144.46","15.84M","-1.33%"
"02-01-2026","148.17","149.00","149.90","147.30","14.41M","-0.40%"
"01-01-2026","148.76","143.25","153.16","142.80","64.00M","4.04%"
"31-12-2025","142.99","144.55","144.65","142.50","8.47M","-1.15%"
"30-12-2025","144.65","140.43","145.23","139.68","15.93M","3.00%"
"29-12-2025","140.44","142.19","142.49","140.00","7.53M","-1.23%"
"26-12-2025","142.19","143.15","144.37","141.90","7.68M","-0.68%"
"24-12-2025","143.16","144.70","144.70","142.67","7.91M","-0.79%"
"23-12-2025","144.30","143.80","144.60","142.32","7.44M","0.73%"
"22-12-2025","143.25","141.77","143.70","141.77","9.61M","1.05%"
"19-12-2025","141.76","141.50","142.20","140.68","7.87M","0.33%"
"18-12-2025","141.30","143.00","143.00","140.70","6.85M","-1.19%"
"17-12-2025","143.00","145.40","145.45","142.05","9.80M","-1.60%"
"16-12-2025","145.33","144.75","145.80","143.94","12.13M","0.66%"
"15-12-2025","144.38","144.49","145.45","142.29","8.95M","-0.08%"
"12-12-2025","144.49","141.39","145.00","141.39","13.45M","2.78%"
"11-12-2025","140.58","141.00","142.10","139.25","10.48M","-0.42%"
"10-12-2025","141.18","142.20","143.50","140.70","7.79M","-0.44%"
"09-12-2025","141.80","139.04","142.85","135.00","20.83M","1.99%"
"08-12-2025","139.04","144.25","145.16","138.21","14.99M","-3.30%"
"05-12-2025","143.78","143.00","144.20","142.37","7.23M","0.74%"
"04-12-2025","142.73","145.00","146.84","142.31","11.15M","-1.55%"
"03-12-2025","144.97","146.90","147.68","144.54","10.33M","-1.22%"
"02-12-2025","146.76","147.30","148.18","146.05","6.39M","-0.39%"
"01-12-2025","147.34","148.21","148.82","147.01","7.76M","-0.10%"
"28-11-2025","147.49","148.55","149.09","147.20","10.05M","-0.43%"
"27-11-2025","148.13","149.15","150.64","147.40","19.41M","-0.33%"
"26-11-2025","148.62","147.20","148.90","146.35","10.55M","1.21%"
"25-11-2025","146.84","145.44","148.26","145.12","10.80M","0.96%"
"24-11-2025","145.44","150.00","150.30","144.80","13.88M","-2.47%"
"21-11-2025","149.12","151.00","151.19","148.90","9.64M","-1.54%"
"20-11-2025","151.46","152.29","153.40","151.00","11.44M","-0.10%"
"19-11-2025","151.61","150.30","152.66","150.09","21.36M","1.38%"
"18-11-2025","149.55","153.15","153.88","149.12","22.50M","-2.43%"
"17-11-2025","153.28","155.35","155.35","153.00","15.16M","-0.41%"
"14-11-2025","153.91","152.46","155.99","152.20","26.82M","1.36%"
"13-11-2025","151.85","151.98","154.20","151.50","20.56M","-0.09%"
"12-11-2025","151.98","152.00","153.78","150.66","27.33M","0.54%"
"11-11-2025","151.17","151.49","151.90","146.71","42.38M","0.74%"
"10-11-2025","150.06","152.75","154.48","149.50","19.50M","-0.94%"
"07-11-2025","151.48","152.99","154.79","150.85","36.64M","-1.10%"
"06-11-2025","153.17","158.36","158.38","152.33","24.26M","-3.30%"
"04-11-2025","158.39","156.00","159.50","153.21","41.40M","1.06%"
"03-11-2025","156.73","158.99","158.99","156.10","22.32M","-0.71%"
"31-10-2025","157.85","161.60","161.74","157.50","44.71M","-2.90%"
"30-10-2025","162.57","163.70","164.70","160.20","64.99M","0.29%"
"29-10-2025","162.10","163.28","168.40","161.75","67.87M","-0.14%"
"28-10-2025","162.33","163.70","164.22","161.10","29.99M","-0.39%"
"27-10-2025","162.96","168.50","169.77","162.00","51.62M","-2.84%"
"24-10-2025","167.72","164.45","169.18","164.00","44.52M","1.49%"
"23-10-2025","165.26","171.05","172.36","164.25","55.33M","-3.23%"
"21-10-2025","170.78","171.50","174.39","168.00","26.43M","0.28%"
"20-10-2025","170.30","168.05","172.20","166.70","107.48M","2.60%"
"17-10-2025","165.98","157.26","168.00","156.77","170.75M","5.47%"
"16-10-2025","157.37","158.10","158.69","155.50","111.09M","-0.09%"
"15-10-2025","157.51","154.85","158.00","150.43","64.55M","1.68%"
"14-10-2025","154.90","155.01","157.50","152.80","52.87M","0.30%"
"13-10-2025","154.43","148.00","155.75","147.52","64.93M","3.16%"
"10-10-2025","149.70","149.10","150.79","147.84","23.71M","0.53%"
"09-10-2025","148.91","149.40","149.98","147.44","26.07M","0.09%"
"08-10-2025","148.78","151.70","152.50","148.42","45.82M","-1.78%"
"07-10-2025","151.48","151.99","155.40","150.35","55.39M","-0.34%"
"06-10-2025","151.99","148.00","152.99","147.38","68.65M","3.13%"
"03-10-2025","147.38","152.90","153.00","143.15","124.14M","-3.36%"
"01-10-2025","152.51","144.95","153.30","144.81","63.06M","5.43%"
"30-09-2025","144.65","148.00","148.25","143.90","22.47M","-1.36%"
"29-09-2025","146.65","148.70","149.60","144.20","43.21M","0.27%"
"26-09-2025","146.25","151.35","152.90","144.70","65.04M","-1.85%"
"25-09-2025","149.00","145.50","153.90","145.50","158.37M","3.11%"
"24-09-2025","144.50","163.25","163.70","142.10","135.96M","-10.99%"
"23-09-2025","162.35","179.90","182.70","160.25","192.60M","-4.64%"
"22-09-2025","170.25","148.20","170.25","147.30","134.76M","20.00%"
"19-09-2025","141.88","135.20","144.60","133.07","431.62M","12.36%"
"18-09-2025","126.27","126.69","127.06","125.20","19.88M","0.13%"
"17-09-2025","126.10","127.98","128.05","125.72","20.89M","-1.07%"
"16-09-2025","127.47","129.40","129.66","127.16","22.72M","-1.06%"
"15-09-2025","128.83","131.30","133.36","128.08","38.90M","-0.68%"
"12-09-2025","129.71","125.60","130.10","125.56","46.41M","3.83%"
"11-09-2025","124.93","127.70","130.60","120.00","298.01M","-1.54%"
"10-09-2025","126.89","129.40","131.71","126.50","31.78M","-1.43%"
"09-09-2025","128.73","127.60","129.60","127.17","27.74M","1.55%"
"08-09-2025","126.77","123.40","129.92","122.81","84.74M","3.96%"
"05-09-2025","121.94","121.59","122.88","120.40","9.97M","0.16%"
"04-09-2025","121.74","122.60","123.12","121.31","9.10M","-0.10%"
"03-09-2025","121.86","122.20","123.20","120.94","15.35M","0.16%"
"02-09-2025","121.67","122.34","122.34","120.30","10.75M","0.25%"
"01-09-2025","121.37","121.18","123.00","120.64","16.64M","1.03%"
"29-08-2025","120.13","119.68","120.64","116.70","18.10M","0.96%"
"28-08-2025","118.99","118.00","121.38","117.04","14.02M","0.48%"
"26-08-2025","118.42","120.98","121.00","118.00","11.30M","-2.24%"
"25-08-2025","121.13","119.03","121.60","118.02","13.44M","1.91%"
"22-08-2025","118.86","119.40","120.59","118.40","6.38M","-0.32%"
"21-08-2025","119.24","120.18","120.80","119.05","4.97M","-0.63%"
"20-08-2025","119.99","120.79","121.47","119.02","7.01M","-1.00%"
"19-08-2025","121.20","119.80","121.60","119.26","14.09M","1.21%"
"18-08-2025","119.75","118.02","120.30","117.30","16.06M","2.52%"
"14-08-2025","116.81","117.38","117.89","116.22","4.81M","-0.26%"
"13-08-2025","117.12","118.96","118.96","116.70","9.02M","-1.00%"
"12-08-2025","118.30","119.05","119.68","117.84","11.41M","-0.40%"
