DATE,M_IN,D_EN,E_EN,H_EN,Ab_EN
2019-04-12,19.75,10.64,240.8,135.95,118.92
2019-04-15,23.65,10.92,250.0,136.75,118.02
2019-04-16,25.6,10.87,251.6,137.55,117.2
2019-04-18,26.15,10.83,251.45,135.35,117.32
2019-04-22,24.6,10.17,252.05,136.0,114.95
2019-04-23,23.25,10.22,255.5,133.65,113.15
2019-04-24,23.7,10.54,254.0,133.95,115.35
2019-04-25,23.5,10.14,251.65,132.9,114.37
2019-04-26,23.05,9.68,250.5,134.1,117.8
2019-04-30,22.05,8.98,252.15,134.05,118.65
2019-05-02,23.9,8.89,252.35,133.1,115.85
2019-05-03,23.15,8.77,252.1,135.45,115.15
2019-05-06,22.7,8.56,251.35,135.0,115.42
2019-05-07,22.8,8.3,248.8,134.1,113.58
2019-05-08,22.6,8.27,249.1,130.8,112.5
2019-05-09,22.8,8.19,242.3,127.7,113.47
2019-05-10,22.7,8.29,241.25,127.0,113.85
2019-05-13,22.0,7.69,242.1,123.55,110.68
2019-05-14,21.85,8.16,241.8,125.6,115.05
2019-05-15,21.85,7.73,235.1,123.95,110.58
2019-05-16,21.75,8.06,232.15,125.75,109.73
2019-05-17,22.1,8.13,236.15,125.5,111.02
2019-05-20,23.9,9.35,237.7,129.25,115.2
2019-05-21,23.35,9.2,237.2,128.6,112.9
2019-05-22,23.9,9.34,241.25,129.6,112.3
2019-05-23,23.75,9.33,244.15,129.85,112.65
2019-05-24,25.6,9.36,244.9,129.15,113.88
2019-05-27,27.8,9.82,244.1,133.2,116.12
2019-05-28,29.0,9.8,250.7,132.6,116.25
2019-05-29,28.75,9.67,250.7,130.9,117.92
2019-05-30,28.3,10.31,252.95,135.1,119.75
2019-05-31,27.0,10.07,253.5,133.25,120.33
2019-06-03,26.25,10.07,260.9,133.1,119.15
2019-06-04,27.65,10.06,263.4,135.05,119.42
2019-06-06,27.85,9.64,269.15,136.55,105.43
2019-06-07,27.45,9.47,265.55,135.15,104.62
2019-06-10,26.75,9.47,259.3,135.0,102.42
2019-06-11,26.15,9.65,258.75,135.3,102.02
2019-06-12,25.9,9.82,257.0,134.4,103.37
2019-06-13,25.9,9.67,255.6,134.9,102.7
2019-06-14,26.75,9.7,255.15,132.75,102.83
2019-06-17,26.9,9.35,255.3,132.25,101.98
2019-06-18,26.75,9.37,260.35,132.4,102.68
2019-06-19,26.05,9.34,257.05,134.65,102.58
2019-06-20,26.25,9.5,260.35,134.55,103.72
2019-06-21,26.4,9.58,254.25,134.55,103.87
2019-06-24,26.1,10.03,256.75,135.6,102.23
2019-06-25,26.15,10.11,258.35,138.45,103.23
2019-06-26,26.55,10.26,260.3,140.05,103.08
2019-06-27,27.65,10.3,259.4,140.15,102.22
2019-06-28,27.8,10.27,253.8,141.35,103.98
2019-07-01,27.8,12.06,249.25,142.55,104.23
2019-07-02,27.75,12.95,252.7,142.95,103.78
2019-07-03,28.55,13.15,250.95,143.25,101.75
2019-07-04,28.3,13.07,251.1,143.45,102.6
2019-07-05,27.0,12.73,241.9,136.5,102.13
2019-07-08,26.25,12.42,232.4,129.6,100.7
2019-07-09,26.65,13.43,229.6,129.55,98.07
2019-07-10,26.2,12.59,233.35,129.05,96.63
2019-07-11,26.35,12.54,234.9,128.95,98.3
2019-07-12,26.05,12.77,231.25,127.8,97.77
2019-07-15,25.6,12.54,230.4,127.95,97.0
2019-07-16,25.15,12.75,232.8,130.95,98.23
2019-07-17,25.25,12.68,230.0,129.1,95.6
2019-07-18,24.7,12.54,220.3,127.05,94.63
2019-07-19,24.1,12.19,221.9,129.9,91.73
2019-07-22,24.15,12.59,221.4,130.85,92.0
2019-07-23,23.75,12.62,218.05,133.05,92.4
2019-07-24,23.75,12.51,216.85,131.85,91.1
2019-07-25,24.0,12.42,209.05,129.75,89.83
2019-07-26,23.95,12.58,210.65,128.8,88.63
2019-07-29,23.7,12.32,205.4,127.3,87.6
2019-07-30,22.5,12.13,199.55,127.2,86.1
2019-07-31,23.4,12.2,204.45,126.55,85.9
2019-08-01,23.8,11.88,202.45,126.85,85.73
2019-08-02,23.9,12.29,197.2,123.1,85.1
2019-08-05,23.5,11.66,200.6,121.0,81.97
2019-08-06,23.85,11.91,205.1,123.35,82.23
